category,city,n_cells,n_vars,n_rows,status,stop_reason,gap_target,achieved_gap,hit_time_limit,dual_bound,objective_net_rev,baseline_hold_net_rev,nodes,solve_time_s,budget_wk,n_held_cells
Millet & Other Atta,Mumbai,4,336.0,276.0,0,target_gap_hit,0.01,3.1e-05,False,-421450.0,421437.0,418400.0,1.0,0.03,4218.0,0.0
Millet & Other Atta,Others,7,588.0,465.0,0,target_gap_hit,0.01,0.0,False,-2880803.0,2880803.0,2858021.0,1.0,0.05,28838.0,0.0
Millet & Other Atta,Pune,6,504.0,402.0,0,target_gap_hit,0.01,0.0,False,-341669.0,341669.0,340423.0,1.0,0.05,3420.0,0.0
Millets,Delhi-NCR,2,168.0,150.0,0,target_gap_hit,0.01,0.0,False,-284966.0,284966.0,277749.0,1.0,0.01,2858.0,0.0
Millets,Others,2,168.0,150.0,0,target_gap_hit,0.01,0.0,False,-26854.0,26854.0,26603.0,1.0,0.02,270.0,0.0
Oil,Bangalore,3,252.0,213.0,0,target_gap_hit,0.01,0.004186,False,-1031426.0,1027126.0,1042517.0,1.0,0.06,10571.0,0.0
Oil,Chennai,1,84.0,87.0,0,target_gap_hit,0.01,0.0,False,-106878.0,106878.0,108176.0,1.0,0.02,1110.0,0.0
Oil,Delhi-NCR,3,252.0,213.0,0,target_gap_hit,0.01,0.002087,False,-631563.0,630248.0,637476.0,1.0,0.03,6464.0,0.0
Oil,Hyderabad,3,252.0,213.0,0,target_gap_hit,0.01,0.003704,False,-889990.0,886706.0,899430.0,1.0,0.02,9146.0,0.0
Oil,Kolkata,2,168.0,150.0,0,target_gap_hit,0.01,0.006384,False,-267333.0,265637.0,268133.0,1.0,0.01,2732.0,0.0
Oil,Lucknow,3,252.0,213.0,0,target_gap_hit,0.01,0.000568,False,-57648.0,57615.0,58118.0,1.0,0.03,595.0,0.0
Oil,Mumbai,2,168.0,150.0,0,target_gap_hit,0.01,0.0,False,-150389.0,150389.0,151966.0,1.0,0.01,1537.0,0.0
Oil,Others,3,252.0,213.0,0,target_gap_hit,0.01,0.002451,False,-1015382.0,1012900.0,1024581.0,1.0,0.01,10464.0,0.0
Oil,Pune,3,252.0,213.0,0,target_gap_hit,0.01,0.005574,False,-147219.0,146403.0,148627.0,1.0,0.03,1507.0,0.0
Plain Peanuts,Ahmedabad,2,168.0,150.0,0,target_gap_hit,0.01,0.0,False,-86208.0,86208.0,86063.0,1.0,0.03,860.0,0.0
Plain Peanuts,Bangalore,3,252.0,213.0,0,target_gap_hit,0.01,0.0,False,-777156.0,777156.0,768485.0,1.0,0.02,7805.0,0.0
Plain Peanuts,Chandigarh Tricity,2,168.0,150.0,0,target_gap_hit,0.01,0.0,False,-78567.0,78567.0,78678.0,1.0,0.02,787.0,0.0
Plain Peanuts,Chennai,3,252.0,213.0,0,target_gap_hit,0.01,0.0,False,-119901.0,119901.0,117842.0,1.0,0.01,1199.0,0.0
Plain Peanuts,Delhi-NCR,3,252.0,213.0,0,target_gap_hit,0.01,0.0,False,-1247707.0,1247707.0,1225209.0,1.0,0.03,12454.0,0.0
Plain Peanuts,Hyderabad,3,252.0,213.0,0,target_gap_hit,0.01,0.0,False,-564478.0,564478.0,542042.0,1.0,0.01,5637.0,0.0
Plain Peanuts,Kolkata,3,252.0,213.0,0,target_gap_hit,0.01,0.0,False,-162545.0,162545.0,162720.0,1.0,0.02,1639.0,0.0
Plain Peanuts,Lucknow,2,168.0,150.0,0,target_gap_hit,0.01,0.0,False,-216176.0,216176.0,210864.0,1.0,0.01,2155.0,0.0
Plain Peanuts,Mumbai,3,252.0,213.0,0,target_gap_hit,0.01,0.0,False,-338080.0,338080.0,329805.0,1.0,0.01,3370.0,0.0
Plain Peanuts,Others,2,168.0,150.0,0,target_gap_hit,0.01,0.0,False,-1588615.0,1588615.0,1570041.0,1.0,0.02,15869.0,0.0
Plain Peanuts,Pune,3,252.0,213.0,0,target_gap_hit,0.01,0.0,False,-241704.0,241704.0,236195.0,1.0,0.01,2416.0,0.0
Poha,Ahmedabad,1,84.0,87.0,0,target_gap_hit,0.01,0.0,False,-26263.0,26263.0,26336.0,1.0,0.02,262.0,0.0
Poha,Bangalore,3,252.0,213.0,0,target_gap_hit,0.01,0.009994,False,-531049.0,525794.0,525007.0,1.0,0.05,5247.0,0.0
Poha,Chandigarh Tricity,1,84.0,87.0,0,target_gap_hit,0.01,0.0,False,-26394.0,26394.0,26053.0,1.0,0.01,260.0,0.0
Poha,Chennai,2,168.0,150.0,0,target_gap_hit,0.01,0.008013,False,-173789.0,172408.0,171490.0,1.0,0.02,1710.0,0.0
Poha,Delhi-NCR,2,168.0,150.0,0,target_gap_hit,0.01,0.008341,False,-712947.0,707050.0,704258.0,1.0,0.01,7029.0,0.0
Poha,Hyderabad,3,252.0,213.0,0,target_gap_hit,0.01,0.007664,False,-253765.0,251835.0,251582.0,1.0,0.03,2503.0,0.0
Poha,Kolkata,2,168.0,150.0,0,target_gap_hit,0.01,0.009825,False,-216822.0,214713.0,213929.0,1.0,0.01,2137.0,0.0
Poha,Lucknow,2,168.0,150.0,0,target_gap_hit,0.01,0.007478,False,-51036.0,50658.0,50507.0,1.0,0.01,503.0,0.0
Poha,Mumbai,2,168.0,123.0,0,target_gap_hit,0.01,0.0,False,-342231.0,342231.0,340584.0,1.0,0.02,3402.0,1.0
Poha,Others,2,168.0,150.0,0,target_gap_hit,0.01,0.007366,False,-981885.0,974705.0,966185.0,1.0,0.01,9655.0,0.0
Poha,Pune,2,168.0,150.0,0,target_gap_hit,0.01,0.005022,False,-114780.0,114207.0,113593.0,1.0,0.02,1131.0,0.0
Rice & Rice Products,Ahmedabad,5,420.0,339.0,0,target_gap_hit,0.01,0.000133,False,-139825.0,139806.0,136169.0,1.0,0.03,1384.0,0.0
Rice & Rice Products,Bangalore,10,840.0,654.0,0,target_gap_hit,0.01,0.0,False,-3290252.0,3290252.0,3205968.0,1.0,0.08,32295.0,0.0
Rice & Rice Products,Chandigarh Tricity,6,504.0,402.0,0,target_gap_hit,0.01,0.0,False,-156509.0,156509.0,153588.0,1.0,0.05,1539.0,0.0
Rice & Rice Products,Chennai,7,588.0,465.0,0,target_gap_hit,0.01,0.0,False,-450403.0,450403.0,443277.0,1.0,0.06,4430.0,0.0
Rice & Rice Products,Delhi-NCR,9,756.0,591.0,0,target_gap_hit,0.01,0.0,False,-3119193.0,3119193.0,3046542.0,1.0,0.06,30789.0,0.0
Rice & Rice Products,Hyderabad,10,840.0,654.0,0,target_gap_hit,0.01,0.0,False,-2429767.0,2429767.0,2358887.0,1.0,0.08,23871.0,0.0
Rice & Rice Products,Kolkata,9,756.0,591.0,0,target_gap_hit,0.01,0.0,False,-1259642.0,1259642.0,1242496.0,1.0,0.08,12411.0,0.0
Rice & Rice Products,Lucknow,6,504.0,402.0,0,target_gap_hit,0.01,0.0,False,-231789.0,231789.0,229494.0,1.0,0.05,2291.0,0.0
Rice & Rice Products,Mumbai,8,672.0,528.0,0,target_gap_hit,0.01,0.0,False,-1568071.0,1568071.0,1536017.0,1.0,0.06,15443.0,0.0
Rice & Rice Products,Others,10,840.0,654.0,0,target_gap_hit,0.01,0.0,False,-5515312.0,5515312.0,5418039.0,1.0,0.08,54543.0,0.0
Rice & Rice Products,Pune,8,672.0,528.0,0,target_gap_hit,0.01,0.0,False,-854295.0,854295.0,844676.0,1.0,0.06,8450.0,0.0
Salt,Bangalore,1,84.0,87.0,0,target_gap_hit,0.01,0.000371,False,-41405.0,41390.0,41438.0,1.0,0.0,415.0,0.0
Salt,Chennai,1,84.0,87.0,0,target_gap_hit,0.01,0.000371,False,-23861.0,23852.0,23927.0,1.0,0.02,240.0,0.0
Salt,Delhi-NCR,2,168.0,150.0,0,target_gap_hit,0.01,0.001051,False,-87783.0,87691.0,88055.0,1.0,0.01,881.0,0.0
Salt,Hyderabad,1,84.0,87.0,0,target_gap_hit,0.01,0.000371,False,-33866.0,33853.0,33961.0,1.0,0.02,340.0,0.0
Salt,Kolkata,1,84.0,87.0,0,target_gap_hit,0.01,0.000371,False,-14753.0,14747.0,14586.0,1.0,0.02,148.0,0.0
Salt,Lucknow,1,84.0,87.0,0,target_gap_hit,0.01,0.000371,False,-6536.0,6533.0,6538.0,1.0,0.02,65.0,0.0
Salt,Mumbai,1,84.0,87.0,0,target_gap_hit,0.01,0.000371,False,-34812.0,34799.0,34909.0,1.0,0.01,349.0,0.0
Salt,Others,2,168.0,150.0,0,target_gap_hit,0.01,0.0,False,-68026.0,68026.0,68212.0,1.0,0.02,683.0,0.0
