cell_id,product_id,city,pricing_action,agree_with_cut
495083_Hyderabad,495083,Hyderabad,cut,False
3582_Kolkata,3582,Kolkata,cut,False
3796_500g_Kolkata,3796,Kolkata,cut,True
5751_500g_Kolkata,5751,Kolkata,cut,True
16658_Kolkata,16658,Kolkata,cut,False
495083_Kolkata,495083,Kolkata,cut,False
3582_Lucknow,3582,Lucknow,cut,False
3796_500g_Lucknow,3796,Lucknow,cut,True
5751_Lucknow,5751,Lucknow,cut,False
16658_Lucknow,16658,Lucknow,cut,False
495083_Lucknow,495083,Lucknow,cut,False
3582_Mumbai,3582,Mumbai,cut,False
3796_500g_Mumbai,3796,Mumbai,cut,True
5751_Mumbai,5751,Mumbai,cut,False
16658_Mumbai,16658,Mumbai,cut,False
3581_Others,3581,Others,hold,False
3582_Others,3582,Others,cut,False
3796_Others,3796,Others,cut,False
5751_Others,5751,Others,cut,False
16658_Others,16658,Others,cut,False
495083_Others,495083,Others,cut,False
3582_Pune,3582,Pune,cut,False
3796_Pune,3796,Pune,cut,False
5751_500g_Pune,5751,Pune,cut,True
16658_500g_Pune,16658,Pune,cut,True
495083_Pune,495083,Pune,cut,False
5629_Delhi-NCR,5629,Delhi-NCR,hold,False
438513_Delhi-NCR,438513,Delhi-NCR,cut,False
5629_Others,5629,Others,hold,False
438513_Others,438513,Others,cut,False
21752_Bangalore,21752,Bangalore,cut,False
286878_Bangalore,286878,Bangalore,cut,False
443581_Bangalore,443581,Bangalore,cut,False
286878_Chennai,286878,Chennai,hold,False
21752_Delhi-NCR,21752,Delhi-NCR,cut,False
286878_Delhi-NCR,286878,Delhi-NCR,cut,False
443581_Delhi-NCR,443581,Delhi-NCR,cut,False
21752_Hyderabad,21752,Hyderabad,cut,False
286878_Hyderabad,286878,Hyderabad,cut,False
443581_Hyderabad,443581,Hyderabad,cut,False
286878_Kolkata,286878,Kolkata,cut,False
443581_Kolkata,443581,Kolkata,cut,False
21752_Lucknow,21752,Lucknow,cut,False
286878_Lucknow,286878,Lucknow,cut,False
443581_Lucknow,443581,Lucknow,cut,False
286878_Mumbai,286878,Mumbai,hold,False
443581_Mumbai,443581,Mumbai,cut,False
21752_Others,21752,Others,cut,False
286878_Others,286878,Others,cut,False
443581_Others,443581,Others,cut,False
21752_Pune,21752,Pune,cut,False
286878_Pune,286878,Pune,cut,False
443581_Pune,443581,Pune,cut,False
21831_Ahmedabad,21831,Ahmedabad,cut,False
21831_Bangalore,21831,Bangalore,cut,False
64011_Bangalore,64011,Bangalore,cut,False
495081_Bangalore,495081,Bangalore,cut,False
21831_Chandigarh Tricity,21831,Chandigarh Tricity,cut,False
495081_Chandigarh Tricity,495081,Chandigarh Tricity,cut,False
21831_Chennai,21831,Chennai,cut,False
64011_Chennai,64011,Chennai,cut,False
495081_Chennai,495081,Chennai,cut,False
21831_Delhi-NCR,21831,Delhi-NCR,cut,False
64011_Delhi-NCR,64011,Delhi-NCR,cut,False
495081_Delhi-NCR,495081,Delhi-NCR,cut,False
21831_Hyderabad,21831,Hyderabad,cut,False
64011_Hyderabad,64011,Hyderabad,cut,False
21831_Kolkata,21831,Kolkata,cut,False
495081_Kolkata,495081,Kolkata,cut,False
21831_Lucknow,21831,Lucknow,cut,False
64011_Lucknow,64011,Lucknow,cut,False
